1.000000 0.294118  9539503.517108  -389337799.538368  389337799.538368
1.010000 0.297059  8465487.645043  -342089748.920720  342089748.920720
1.020000 0.300000  7521218.724186  -300958488.336428  300958488.336428
1.030000 0.302941  6689974.815363  -265103439.238876  265103439.238876
1.040000 0.305882  5957321.746889  -233806106.916154  233806106.916154
1.050000 0.308824  5310782.301413  -206451412.243604  206451412.243604
1.060000 0.311765  4739555.768984  -182512018.781953  182512018.781953
1.070000 0.314706  4234279.819717  -161535152.436174  161535152.436174
1.080000 0.317647  3786827.994358  -143131498.942326  143131498.942326
1.090000 0.320588  3390137.221436  -126965836.452097  126965836.452097
1.100000 0.323529  3038060.688105  -112749119.475612  112749119.475612
1.110000 0.326471  2725242.152764  -100231778.864496  100231778.864496
1.120000 0.329412  2447008.419202  -89198042.336147  89198042.336147
1.130000 0.332353  2199277.217211  -79461112.844149  79461112.844149
1.140000 0.335294  1978478.172074  -70859069.172693  70859069.172693
1.150000 0.338235  1781484.910225  -63251375.514831  63251375.514831
1.160000 0.341176  1605556.653367  -56515905.329985  56515905.329985
1.170000 0.344118  1448287.908547  -50546400.152091  50546400.152091
1.180000 0.347059  1307565.075637  -45250296.795807  45250296.795807
1.190000 0.350000  1181528.973318  -40546867.041137  40546867.041137
1.200000 0.352941  1068542.435674  -36365622.740306  36365622.740306
1.210000 0.355882  967162.258739  -32644946.690715  32644946.690715
1.220000 0.358824  876114.883564  -29330915.805547  29330915.805547
1.230000 0.361765  794275.292991  -26376288.295420  26376288.295420
1.240000 0.364706  720648.675923  -23739630.920495  23739630.920495
1.250000 0.367647  654354.477786  -21384566.022651  21384566.022651
1.260000 0.370588  594612.510886  -19279121.117715  19279121.117715
1.270000 0.373529  540730.845132  -17395166.413864  17395166.413864
1.280000 0.376471  492095.239305  -15707927.803788  15707927.803788
1.290000 0.379412  448159.906929  -14195564.720712  14195564.720712
1.300000 0.382353  408439.439607  -12838803.806751  12838803.806751
1.310000 0.385294  372501.735349  -11620620.661923  11620620.661923
1.320000 0.388235  339961.800458  -10525963.061318  10525963.061318
1.330000 0.391176  310476.311539  -9541509.978293  9541509.978293
1.340000 0.394118  283738.839647  -8655461.559502  8655461.559502
1.350000 0.397059  259475.651816  -7857355.885339  7857355.885339
1.360000 0.400000  237442.016602  -7137908.935547  7137908.935547
1.370000 0.402941  217418.950003  -6488874.679936  6488874.679936
1.380000 0.405882  199210.346596  -5902922.641474  5902922.641474
1.390000 0.408824  182640.447918  -5373530.644536  5373530.644536
1.400000 0.411765  167551.606424  -4894890.774076  4894890.774076
1.410000 0.414706  153802.308727  -4461826.839823  4461826.839823
1.420000 0.417647  141265.426504  -4069721.869903  4069721.869903
1.430000 0.420588  129826.667495  -3714454.356136  3714454.356136
1.440000 0.423529  119383.202520  -3392342.143485  3392342.143485
1.450000 0.426471  109842.447487  -3100093.002680  3100093.002680
1.460000 0.429412  101120.981971  -2834761.051334  2834761.051334
1.470000 0.432353  93143.588280  -2593708.297923  2593708.297923
1.480000 0.435294  85842.396869  -2374570.677118  2374570.677118
1.490000 0.438235  79156.125731  -2175228.026375  2175228.026375
1.500000 0.441176  73029.402892  -1993777.524168  1993777.524168
1.510000 0.444118  67412.162459  -1828510.171266  1828510.171266
1.520000 0.447059  62259.105816  -1677889.949426  1677889.949426
1.530000 0.450000  57529.220585  -1540535.337797  1540535.337797
1.540000 0.452941  53185.350819  -1415202.907290  1415202.907290
1.550000 0.455882  49193.812708  -1300772.747856  1300772.747856
1.560000 0.458824  45524.050705  -1196235.513880  1196235.513880
1.570000 0.461765  42148.329622  -1100680.899201  1100680.899201
1.580000 0.464706  39041.458709  -1013287.376265  1013287.376265
1.590000 0.467647  36180.544250  -933313.053933  933313.053933
1.600000 0.470588  33544.767551  -860087.526004  860087.526004
1.610000 0.473529  31115.185589  -793004.597809  793004.597809
1.620000 0.476471  28874.551884  -731515.791648  731515.791648
1.630000 0.479412  26807.155439  -675124.543548  675124.543548
1.640000 0.482353  24898.675826  -623381.014143  623381.014143
1.650000 0.485294  23136.052711  -575877.445476  575877.445476
1.660000 0.488235  21507.368315  -532244.003460  532244.003460
1.670000 0.491176  20001.741451  -492145.052685  492145.052685
1.680000 0.494118  18609.231939  -455275.816397  455275.816397
1.690000 0.497059  17320.754333  -421359.379853  421359.379853
1.700000 0.500000  16128.000000  -390144.000000  390144.000000
1.710000 0.502941  15023.366703  -361400.688625  361400.688625
1.720000 0.505882  13999.894927  -334921.039786  334921.039786
1.730000 0.508824  13051.210270  -310515.275624  310515.275624
1.740000 0.511765  12171.471279  -288010.487507  288010.487507
1.750000 0.514706  11355.322214  -267249.052021  267249.052021
1.760000 0.517647  10597.850220  -248087.203549  248087.203549
1.770000 0.520588  9894.546495  -230393.747207  230393.747207
1.780000 0.523529  9241.271058  -214048.897640  214048.897640
1.790000 0.526471  8634.220755  -198943.230757  198943.230757
1.800000 0.529412  8069.900203  -184976.736878  184976.736878
1.810000 0.532353  7545.095378  -172057.964991  172057.964991
1.820000 0.535294  7056.849605  -160103.248920  160103.248920
1.830000 0.538235  6602.441699  -149036.007164  149036.007164
1.840000 0.541176  6179.366084  -138786.109052  138786.109052
1.850000 0.544118  5785.314674  -129289.300614  129289.300614
1.860000 0.547059  5418.160365  -120486.684265  120486.684265
1.870000 0.550000  5075.941991  -112324.247003  112324.247003
1.880000 0.552941  4756.850592  -104752.432373  104752.432373
1.890000 0.555882  4459.216889  -97725.751931  97725.751931
1.900000 0.558824  4181.499847  -91202.432391  91202.432391
1.910000 0.561765  3922.276229  -85144.094999  85144.094999
1.920000 0.564706  3680.231041  -79515.464051  79515.464051
1.930000 0.567647  3454.148811  -74284.101779  74284.101779
1.940000 0.570588  3242.905591  -69420.167086  69420.167086
1.950000 0.573529  3045.461660  -64896.195889  64896.195889
1.960000 0.576471  2860.854821  -60686.901033  60686.901033
1.970000 0.579412  2688.194279  -56768.989946  56768.989946
1.980000 0.582353  2526.655014  -53120.998380  53120.998380
1.990000 0.585294  2375.472640  -49723.138755  49723.138755
2.000000 0.588235  2233.938673  -46557.161743  46557.161743
2.010000 0.591176  2101.396197  -43606.229904  43606.229904
2.020000 0.594118  1977.235885  -40854.802246  40854.802246
2.030000 0.597059  1860.892343  -38288.528730  38288.528730
2.040000 0.600000  1751.840750  -35894.153820  35894.153820
2.050000 0.602941  1649.593773  -33659.428259  33659.428259
2.060000 0.605882  1553.698724  -31573.028341  31573.028341
2.070000 0.608824  1463.734952  -29624.482000  29624.482000
2.080000 0.611765  1379.311436  -27804.101122  27804.101122
2.090000 0.614706  1300.064575  -26102.919519  26102.919519
2.100000 0.617647  1225.656147  -24512.636078  24512.636078
2.110000 0.620588  1155.771430  -23025.562627  23025.562627
2.120000 0.623529  1090.117475  -21634.576099  21634.576099
2.130000 0.626471  1028.421503  -20333.074639  20333.074639
2.140000 0.629412  970.429439  -19114.937297  19114.937297
2.150000 0.632353  915.904545  -17974.487006  17974.487006
2.160000 0.635294  864.626175  -16906.456561  16906.456561
2.170000 0.638235  816.388605  -15905.957351  15905.957351
2.180000 0.641176  770.999973  -14968.450597  14968.450597
2.190000 0.644118  728.281281  -14089.720898  14089.720898
2.200000 0.647059  688.065486  -13265.851881  13265.851881
2.210000 0.650000  650.196650  -12493.203783  12493.203783
2.220000 0.652941  614.529160  -11768.392808  11768.392808
2.230000 0.655882  580.927003  -11088.272100  11088.272100
2.240000 0.658824  549.263093  -10449.914212  10449.914212
2.250000 0.661765  519.418652  -9850.594941  9850.594941
2.260000 0.664706  491.282636  -9287.778413  9287.778413
2.270000 0.667647  464.751195  -8759.103328  8759.103328
